voucher,long,lat
PA033,16.74466727,43.62102697
PA035,16.74466727,43.62102697
PA036,16.74466727,43.62102697
PA037,16.74466727,43.62102697
PA038,16.74466727,43.62102697
PA039,16.74466727,43.62102697
PA040,16.74466727,43.62102697
PA042,16.74466727,43.62102697
PA044,16.74466727,43.62102697
PA048,16.74466727,43.62102697
PA155,17.98388833,42.8458
PA157,16.01861835,44.00313313
PA158,16.01861835,44.00313313
PA159,16.01861835,44.00313313
PA161,16.01330699,43.81712828
PA162,17.98388833,42.8458
PA265,16.01861835,44.00313313
PA268,16.01330699,43.81712828
PA269,16.01861835,44.00313313
PA291,16.01861835,44.00313313
PA292,16.01861835,44.00313313
PA293,16.01861835,44.00313313
PA294,16.01861835,44.00313313
PA295,16.01861835,44.00313313
PA296,16.01330699,43.81712828
PA297,16.01330699,43.81712828
PA321,18.36863902,42.71444254
PA348,17.98388833,42.8458
